name,version,repository,licenses
@angular/animations,12.0.2,https://github.com/angular/angular,MIT
@angular/cdk,12.0.3,https://github.com/angular/components,MIT
@angular/common,12.0.2,https://github.com/angular/angular,MIT
@angular/compiler,12.0.2,https://github.com/angular/angular,MIT
@angular/compiler-cli,12.0.2,https://github.com/angular/angular,MIT
@angular/core,12.0.2,https://github.com/angular/angular,MIT
@angular/forms,12.0.2,https://github.com/angular/angular,MIT
@angular/language-service,12.0.2,https://github.com/angular/angular,MIT
@angular/material,12.0.3,https://github.com/angular/components,MIT
@angular/platform-browser,12.0.2,https://github.com/angular/angular,MIT
@angular/platform-browser-dynamic,12.0.2,https://github.com/angular/angular,MIT
@angular/router,12.0.2,https://github.com/angular/angular,MIT
@babel/code-frame,7.12.13,https://github.com/babel/babel,MIT
@babel/compat-data,7.14.4,https://github.com/babel/babel,MIT
@babel/core,7.14.3,https://github.com/babel/babel,MIT
@babel/generator,7.14.3,https://github.com/babel/babel,MIT
@babel/helper-compilation-targets,7.14.4,https://github.com/babel/babel,MIT
@babel/helper-function-name,7.14.2,https://github.com/babel/babel,MIT
@babel/helper-get-function-arity,7.12.13,https://github.com/babel/babel,MIT
@babel/helper-member-expression-to-functions,7.13.12,https://github.com/babel/babel,MIT
@babel/helper-module-imports,7.13.12,https://github.com/babel/babel,MIT
@babel/helper-module-transforms,7.14.2,https://github.com/babel/babel,MIT
@babel/helper-optimise-call-expression,7.12.13,https://github.com/babel/babel,MIT
@babel/helper-replace-supers,7.14.4,https://github.com/babel/babel,MIT
@babel/helper-simple-access,7.13.12,https://github.com/babel/babel,MIT
@babel/helper-split-export-declaration,7.12.13,https://github.com/babel/babel,MIT
@babel/helper-validator-identifier,7.14.0,https://github.com/babel/babel,MIT
@babel/helper-validator-option,7.12.17,https://github.com/babel/babel,MIT
@babel/helpers,7.14.0,https://github.com/babel/babel,MIT
@babel/highlight,7.14.0,https://github.com/babel/babel,MIT
@babel/parser,7.14.4,https://github.com/babel/babel,MIT
@babel/template,7.12.13,https://github.com/babel/babel,MIT
@babel/traverse,7.14.2,https://github.com/babel/babel,MIT
@babel/types,7.14.4,https://github.com/babel/babel,MIT
@electron/get,1.12.4,https://github.com/electron/get,MIT
@electron/remote,1.0.4,https://github.com/electron/remote,MIT
@materia-ui/ngx-monaco-editor,5.1.0,https://github.com/geoastronaute/ngx-monaco-editor,MIT
